task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,primary_transformation,transformation_confidence,was_fallback_used,llm_proposed_action,fallback_reason,llm_time,detection_time,action_time,num_colors,num_objects,mode,error
task_add_border,True,True,1.0000,8.26,add_border|add_border|add_border,color_change,7x8,3,1,add_border,1.0000,True,color_change,direct_add_border,8.060,0.000,0.001,1,0,single,
task_add_border_01,True,True,1.0000,5.16,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,5.155,0.000,0.001,1,0,single,
task_add_border_02,True,True,1.0000,5.56,add_border|add_border,color_change,9x9,2,1,add_border,1.0000,True,color_change,direct_add_border,5.554,0.001,0.000,1,0,single,
task_add_border_03,True,True,1.0000,5.13,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,5.114,0.001,0.000,1,0,single,
task_blob_color_change,True,True,1.0000,5.15,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,5.144,0.001,0.000,1,0,single,
task_blob_reflection,True,True,1.0000,4.96,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,4.956,0.000,0.001,1,0,single,
task_blob_rotation,True,True,1.0000,4.94,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,4.937,0.000,0.000,1,0,single,
task_blob_translation,True,True,1.0000,6.42,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,6.408,0.001,0.000,1,0,single,
task_challenge_multi_transform,True,True,1.0000,35.11,,,10x12,2,1,,0.0000,False,,,0.000,0.000,0.000,3,0,single,
task_color_change,True,False,0.9375,7.90,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,7.889,0.003,0.001,1,0,single,
task_color_change_01,True,False,0.9375,5.01,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,4.997,0.001,0.000,1,0,single,
task_color_change_02,True,True,1.0000,5.01,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,5.001,0.001,0.000,1,0,single,
task_color_change_03,True,False,0.8333,3.81,composite|color_change|rotation|composite|color_change|rotation,color_change,6x6,2,1,composite,1.0000,True,color_change,direct_composite,3.793,0.002,0.000,1,0,single,
task_color_change_04,True,False,0.9219,5.01,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,5.000,0.003,0.000,1,0,single,
task_color_change_05,True,False,0.8125,5.00,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,4.991,0.001,0.000,1,0,single,
task_composite_01,True,True,1.0000,4.92,composite|rotation|composite|rotation,translate,8x8,2,1,composite,1.0000,True,translate,direct_composite,4.906,0.002,0.001,1,0,single,
task_composite_02,True,True,1.0000,4.91,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,4.902,0.000,0.000,1,0,single,
task_composite_rotate_translate,True,True,1.0000,4.26,composite|rotation|composite|rotation,translate,7x7,2,1,composite,1.0000,True,translate,direct_composite,4.248,0.002,0.001,1,0,single,
task_draw_line,True,True,1.0000,9.12,draw_line|draw_line|draw_line,draw_line,10x10,3,1,draw_line,1.0000,False,draw_line,,9.114,0.000,0.001,1,0,single,
task_draw_line_01,True,True,1.0000,4.98,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,4.971,0.000,0.000,1,0,single,
task_draw_line_02,True,True,1.0000,4.98,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,4.971,0.000,0.000,1,0,single,
task_draw_line_03,True,True,1.0000,5.53,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,5.532,0.000,0.001,1,0,single,
task_draw_line_04,True,True,1.0000,5.53,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,5.520,0.000,0.000,1,0,single,
task_l_shape,True,True,1.0000,6.51,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,6.502,0.000,0.001,1,0,single,
task_multi_objects,True,True,1.0000,9.83,,,8x8,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_same_transform,True,True,1.0000,15.93,,,10x10,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_pattern_tile,True,True,1.0000,8.09,tiling|tiling,tile,2x2,2,1,tiling,1.0000,False,tile,,8.083,0.000,0.000,1,0,single,
task_pattern_tile_3x3,True,True,1.0000,9.06,tiling|tiling,tile,3x3,2,1,tiling,1.0000,False,tile,,9.055,0.000,0.000,2,0,single,
task_reflection,True,True,1.0000,3.70,reflection|reflection,reflect,6x6,2,1,reflection,1.0000,False,reflect,,3.698,0.000,0.000,1,0,single,
task_reflection_01,True,True,1.0000,4.94,reflection|reflection,reflect,8x8,2,1,reflection,1.0000,False,reflect,,4.933,0.000,0.000,1,0,single,
task_reflection_02,True,True,1.0000,5.06,reflection|rotation|reflection,reflect,8x8,2,1,reflection,1.0000,False,reflect,,5.047,0.000,0.000,1,0,single,
task_reflection_03,True,True,1.0000,4.94,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,4.928,0.000,0.001,1,0,single,
task_reflection_04,True,True,1.0000,4.93,reflection|reflection,reflect,8x8,2,1,reflection,1.0000,False,reflect,,4.927,0.000,0.001,1,0,single,
task_reflection_05,True,True,1.0000,4.94,rotation|reflection,reflect,8x8,2,1,rotation,1.0000,False,reflect,,4.927,0.000,0.000,1,0,single,
task_rotation_01,True,False,0.8906,4.94,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,4.934,0.000,0.001,1,0,single,
task_rotation_02,True,True,1.0000,4.91,rotation|reflection|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,4.898,0.001,0.001,1,0,single,
task_rotation_03,True,False,0.9062,5.29,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,5.280,0.001,0.003,1,0,single,
task_rotation_04,True,False,0.8750,4.94,reflection|rotation|rotation,rotate,8x8,2,1,reflection,1.0000,False,rotate,,4.932,0.001,0.000,1,0,single,
task_rotation_05,True,True,1.0000,4.92,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,4.912,0.000,0.000,1,0,single,
task_rotation_06,True,True,1.0000,4.94,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,4.927,0.001,0.001,1,0,single,
task_rotation_90,True,True,1.0000,4.25,composite|rotation|rotation,translate,7x7,2,1,composite,1.0000,True,translate,direct_composite,4.240,0.001,0.003,1,0,single,
task_tiling_01,True,True,1.0000,6.59,tiling|tiling,tile,2x2,2,1,tiling,1.0000,False,tile,,6.584,0.000,0.000,2,0,single,
task_tiling_02,True,True,1.0000,5.63,tiling|tiling,tile,3x3,2,1,tiling,1.0000,False,tile,,5.623,0.000,0.000,1,0,single,
task_tiling_03,True,True,1.0000,6.73,tiling|tiling,tile,2x3,2,1,tiling,1.0000,False,tile,,6.721,0.000,0.000,1,0,single,
task_translation_01,True,True,1.0000,4.89,translation|rotation|translation|rotation,translate,8x8,2,1,translation,1.0000,False,translate,,4.889,0.000,0.000,1,0,single,
task_translation_02,True,True,1.0000,4.91,translation|rotation|reflection,translate,8x8,2,1,translation,1.0000,False,translate,,4.898,0.000,0.000,1,0,single,
task_translation_03,True,True,1.0000,4.91,translation|rotation|translation|rotation,translate,8x8,2,1,translation,1.0000,False,translate,,4.901,0.000,0.000,1,0,single,
task_translation_04,True,True,1.0000,5.00,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,4.981,0.001,0.000,1,0,single,
task_translation_05,True,True,1.0000,3.92,translation|rotation|translation|rotation,translate,6x6,2,1,translation,1.0000,False,translate,,3.913,0.001,0.001,1,0,single,
task_translation_06,True,True,1.0000,5.01,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,5.004,0.001,0.000,1,0,single,
task_translation_07,True,True,1.0000,5.02,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,5.013,0.000,0.001,1,0,single,
task_translation_08,True,True,1.0000,4.43,translation|rotation|translation|rotation,translate,7x7,2,1,translation,1.0000,False,translate,,4.388,0.000,0.000,1,0,single,
