task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,primary_transformation,transformation_confidence,was_fallback_used,llm_proposed_action,fallback_reason,llm_time,detection_time,action_time,num_colors,num_objects,mode,error
task_add_border_01,True,True,1.0000,14.67,add_border|add_border,scale,8x8,2,1,add_border,1.0000,True,scale,direct_add_border,14.444,0.000,0.005,1,0,single,
task_add_border_02,True,True,1.0000,6.01,add_border|add_border,scale,9x9,2,1,add_border,1.0000,True,scale,direct_add_border,5.999,0.001,0.001,1,0,single,
task_add_border_03,True,True,1.0000,5.29,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,5.287,0.000,0.000,1,0,single,
task_add_border_04,True,True,1.0000,6.34,add_border|add_border|add_border,add_border,7x8,3,1,add_border,1.0000,True,add_border,direct_add_border,6.330,0.000,0.000,1,0,single,
task_add_border_05,True,False,0.8400,4.08,rotation,reflect,10x10,1,1,rotation,1.0000,True,reflect,direct_rotate,4.077,0.001,0.001,1,0,single,
task_add_border_06,True,False,0.8125,3.20,rotation,reflect,8x8,1,1,rotation,1.0000,True,reflect,direct_rotate,3.195,0.001,0.000,1,0,single,
task_add_border_07,True,False,0.0000,4.32,,add_border,10x10,1,1,,0.0000,False,add_border,,4.317,0.001,0.000,1,0,single,
task_add_border_08,True,False,0.8400,3.99,rotation,reflect,10x10,1,1,rotation,1.0000,True,reflect,direct_rotate,3.980,0.000,0.001,1,0,single,
task_add_border_09,True,False,0.8750,3.20,rotation,reflect,8x8,1,1,rotation,1.0000,True,reflect,direct_rotate,3.197,0.001,0.000,1,0,single,
task_add_border_10,True,False,0.8400,3.97,rotation,reflect,10x10,1,1,rotation,1.0000,True,reflect,direct_rotate,3.966,0.000,0.000,1,0,single,
task_blob_01,True,True,1.0000,5.15,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,5.145,0.000,0.000,1,0,single,
task_blob_02,True,True,1.0000,5.07,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,True,reflect,direct_reflect,5.065,0.001,0.000,1,0,single,
task_blob_03,True,True,1.0000,5.10,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,True,rotate,direct_rotate,5.085,0.001,0.000,1,0,single,
task_blob_04,True,True,1.0000,7.31,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,7.305,0.001,0.000,1,0,single,
task_blob_05,True,True,1.0000,3.83,translation,translate,10x10,1,1,translation,1.0000,False,translate,,3.824,0.000,0.000,1,0,single,
task_blob_06,True,True,1.0000,3.91,composite|color_change|rotation,color_change,10x10,1,1,composite,1.0000,True,color_change,direct_composite,3.905,0.001,0.001,1,0,single,
task_blob_07,True,False,0.9500,3.98,rotation,rotate,10x10,1,1,rotation,1.0000,True,rotate,direct_rotate,3.972,0.000,0.000,1,0,single,
task_blob_08,True,False,0.8800,4.03,reflection,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,4.025,0.000,0.000,1,0,single,
task_blob_09,True,True,1.0000,3.99,reflection|rotation,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,3.977,0.001,0.000,1,0,single,
task_blob_10,True,True,1.0000,3.82,translation,translate,10x10,1,1,translation,1.0000,False,translate,,3.810,0.001,0.000,1,0,single,
task_color_change_01,True,True,1.0000,5.15,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,5.137,0.004,0.000,1,0,single,
task_color_change_02,True,True,1.0000,5.14,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,5.135,0.001,0.000,1,0,single,
task_color_change_03,True,True,1.0000,3.91,composite|color_change|rotation|composite|color_change|rotation,color_change,6x6,2,1,composite,1.0000,True,color_change,direct_composite,3.902,0.002,0.000,1,0,single,
task_color_change_04,True,True,1.0000,5.17,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,5.164,0.001,0.001,1,0,single,
task_color_change_05,True,False,0.8750,5.21,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,5.197,0.004,0.000,1,0,single,
task_color_change_06,True,True,1.0000,5.20,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,5.195,0.001,0.001,1,0,single,
task_color_change_07,True,False,0.9600,4.06,composite|color_change|rotation,color_change,10x10,1,1,composite,1.0000,True,color_change,direct_composite,4.051,0.001,0.001,1,0,single,
task_color_change_08,True,False,0.9400,3.90,composite|color_change|rotation,color_change,10x10,1,1,composite,1.0000,True,color_change,direct_composite,3.895,0.001,0.001,1,0,single,
task_color_change_09,True,False,0.9200,4.05,composite|color_change|rotation,color_change,10x10,1,1,composite,1.0000,True,color_change,direct_composite,4.041,0.002,0.000,1,0,single,
task_color_change_10,True,True,1.0000,3.91,color_change,color_change,10x10,1,1,color_change,1.0000,False,color_change,,3.908,0.000,0.000,1,0,single,
task_composite_01,True,True,1.0000,5.11,composite|rotation|composite|rotation,translate,8x8,2,1,composite,1.0000,True,translate,direct_composite,5.099,0.003,0.000,1,0,single,
task_composite_02,True,True,1.0000,5.04,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,5.025,0.001,0.000,1,0,single,
task_composite_03,True,True,1.0000,4.36,composite|rotation|composite|rotation,translate,7x7,2,1,composite,1.0000,True,translate,direct_composite,4.349,0.001,0.000,1,0,single,
task_composite_04,True,True,1.0000,6.60,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,6.590,0.001,0.000,1,0,single,
task_composite_05,True,False,0.9400,4.03,reflection,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,4.020,0.000,0.000,1,0,single,
task_composite_06,True,False,0.9800,3.81,translation|reflection|rotation,translate,10x10,1,1,translation,1.0000,True,translate,direct_translate,3.800,0.000,0.000,1,0,single,
task_composite_07,True,True,1.0000,6.08,composite|rotation,composite,10x10,1,1,composite,1.0000,True,composite,direct_composite,6.064,0.002,0.000,1,0,single,
task_composite_08,True,False,0.9800,3.81,translation|reflection|rotation,translate,10x10,1,1,translation,1.0000,True,translate,direct_translate,3.806,0.001,0.000,1,0,single,
task_composite_09,True,False,0.9600,3.81,translation|reflection|rotation,translate,10x10,1,1,translation,1.0000,True,translate,direct_translate,3.807,0.000,0.000,1,0,single,
task_composite_10,True,True,1.0000,6.16,composite,composite,10x10,1,1,composite,1.0000,True,composite,direct_composite,6.153,0.001,0.001,1,0,single,
task_draw_line_01,True,True,1.0000,5.14,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,5.133,0.000,0.000,1,0,single,
task_draw_line_02,True,True,1.0000,5.11,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,5.106,0.000,0.000,1,0,single,
task_draw_line_03,True,True,1.0000,5.68,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,5.676,0.000,0.000,1,0,single,
task_draw_line_04,True,True,1.0000,5.67,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,5.663,0.000,0.000,1,0,single,
task_draw_line_05,True,True,1.0000,9.39,draw_line|draw_line|draw_line,draw_line,10x10,3,1,draw_line,1.0000,False,draw_line,,9.383,0.000,0.001,1,0,single,
task_draw_line_06,True,False,0.9300,4.15,rotation,draw_line,10x10,1,1,rotation,1.0000,True,draw_line,direct_rotate,4.134,0.006,0.000,1,0,single,
task_draw_line_07,True,True,1.0000,3.89,draw_line,draw_line,10x10,1,1,draw_line,1.0000,False,draw_line,,3.886,0.000,0.000,1,0,single,
task_draw_line_08,True,True,1.0000,3.74,draw_line,draw_line,10x10,1,1,draw_line,1.0000,False,draw_line,,3.729,0.000,0.000,1,0,single,
task_draw_line_09,True,False,0.9600,4.15,draw_line,draw_line,10x10,1,1,draw_line,1.0000,False,draw_line,,4.139,0.000,0.000,1,0,single,
task_draw_line_10,True,True,1.0000,3.73,draw_line,draw_line,10x10,1,1,draw_line,1.0000,False,draw_line,,3.726,0.000,0.000,1,0,single,
task_flood_fill_01,True,True,1.0000,4.83,flood_fill|flood_fill,flood_fill,8x6,2,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,4.827,0.000,0.001,1,0,single,
task_flood_fill_02,True,True,1.0000,4.27,flood_fill|flood_fill,flood_fill,7x8,2,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,4.266,0.000,0.000,1,0,single,
task_flood_fill_03,True,True,1.0000,4.83,flood_fill|flood_fill,flood_fill,4x10,2,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,4.826,0.001,0.000,2,0,single,
task_flood_fill_04,True,True,1.0000,4.14,flood_fill|flood_fill,flood_fill,5x6,2,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,4.127,0.001,0.001,1,0,single,
task_flood_fill_05,True,True,1.0000,3.34,flood_fill,flood_fill,8x8,1,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,3.322,0.001,0.000,1,0,single,
task_flood_fill_06,True,True,1.0000,4.14,flood_fill,flood_fill,10x10,1,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,4.140,0.000,0.001,1,0,single,
task_flood_fill_07,True,False,0.9700,3.99,reflection,reflect,10x10,1,1,reflection,0.9500,True,reflect,direct_reflect,3.982,0.001,0.001,1,0,single,
task_flood_fill_08,True,True,1.0000,5.12,flood_fill,flood_fill,10x10,1,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,5.110,0.000,0.001,1,0,single,
task_flood_fill_09,True,True,1.0000,5.18,flood_fill,flood_fill,10x10,1,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,5.170,0.001,0.001,1,0,single,
task_flood_fill_10,True,True,1.0000,6.37,flood_fill,flood_fill,10x10,1,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,6.365,0.001,0.001,1,0,single,
task_multi_objects_01,True,True,1.0000,13.12,,,10x10,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_02,True,True,1.0000,10.64,,,8x8,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_03,True,True,1.0000,12.31,,,10x12,2,1,,0.0000,False,,,0.000,0.000,0.000,3,0,single,
task_multi_objects_04,True,True,1.0000,6.99,,,10x10,1,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_05,True,False,0.9400,9.36,color_change|rotation,color_change,10x10,1,1,color_change,1.0000,True,color_change,direct_color_change,9.346,0.002,0.001,1,0,single,
task_multi_objects_06,True,True,1.0000,4.20,rotation,translate,10x10,1,1,rotation,1.0000,True,translate,direct_rotate,4.192,0.001,0.001,1,0,single,
task_multi_objects_07,True,False,0.9400,12.40,,,10x10,1,1,,0.0000,False,,,0.000,0.000,0.000,3,0,single,
task_multi_objects_08,True,False,0.8800,9.31,,,10x10,1,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_09,True,False,0.9700,10.54,scaling,symmetry,10x10,1,1,scaling,0.9000,True,symmetry,direct_scale,10.528,0.001,0.001,2,0,single,
