task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,primary_transformation,transformation_confidence,was_fallback_used,llm_proposed_action,fallback_reason,llm_time,detection_time,action_time,num_colors,num_objects,mode,error
task_add_border_01,True,True,1.0000,19.64,add_border|add_border,scale,8x8,2,1,add_border,1.0000,True,scale,direct_add_border,19.427,0.000,0.000,1,0,single,
task_add_border_02,True,True,1.0000,7.05,add_border|add_border,scale,9x9,2,1,add_border,1.0000,True,scale,direct_add_border,7.045,0.000,0.001,1,0,single,
task_add_border_03,True,True,1.0000,6.82,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,6.811,0.000,0.000,1,0,single,
task_add_border_04,True,True,1.0000,7.59,add_border|add_border|add_border,scale,7x8,3,1,add_border,1.0000,True,scale,direct_add_border,7.577,0.001,0.000,1,0,single,
task_add_border_05,True,False,0.8400,4.87,rotation,reflect,10x10,1,1,rotation,1.0000,True,reflect,direct_rotate,4.864,0.000,0.000,1,0,single,
task_add_border_06,True,False,0.8125,4.08,rotation,reflect,8x8,1,1,rotation,1.0000,True,reflect,direct_rotate,4.068,0.000,0.001,1,0,single,
task_add_border_07,True,False,0.0000,5.12,,UNKNOWN,10x10,1,1,,0.0000,False,UNKNOWN,,5.113,0.001,0.000,1,0,single,
task_add_border_08,True,False,0.8400,5.05,rotation,reflect,10x10,1,1,rotation,1.0000,True,reflect,direct_rotate,5.042,0.000,0.001,1,0,single,
task_add_border_09,True,False,0.8750,3.94,rotation,reflect,8x8,1,1,rotation,1.0000,True,reflect,direct_rotate,3.929,0.000,0.001,1,0,single,
task_add_border_10,True,False,0.8400,5.03,rotation,reflect,10x10,1,1,rotation,1.0000,True,reflect,direct_rotate,5.027,0.000,0.000,1,0,single,
task_blob_01,True,True,1.0000,6.43,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,6.421,0.001,0.000,1,0,single,
task_blob_02,True,True,1.0000,6.31,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,True,reflect,direct_reflect,6.301,0.000,0.000,1,0,single,
task_blob_03,True,True,1.0000,6.37,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,True,rotate,direct_rotate,6.357,0.000,0.001,1,0,single,
task_blob_04,True,True,1.0000,8.07,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,8.058,0.000,0.001,1,0,single,
task_blob_05,True,True,1.0000,4.64,translation,translate,10x10,1,1,translation,1.0000,False,translate,,4.637,0.000,0.000,1,0,single,
task_blob_06,True,True,1.0000,5.03,composite|color_change|rotation,color_change,10x10,1,1,composite,1.0000,True,color_change,direct_composite,5.018,0.001,0.001,1,0,single,
task_blob_07,True,True,1.0000,4.90,rotation,rotate,10x10,1,1,rotation,1.0000,True,rotate,direct_rotate,4.896,0.000,0.000,1,0,single,
task_blob_08,True,False,0.8800,4.77,reflection,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,4.754,0.000,0.003,1,0,single,
task_blob_09,True,True,1.0000,4.96,reflection|rotation,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,4.952,0.000,0.001,1,0,single,
task_blob_10,True,True,1.0000,4.72,translation,translate,10x10,1,1,translation,1.0000,False,translate,,4.717,0.000,0.000,1,0,single,
task_color_change_01,True,True,1.0000,6.40,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,6.396,0.002,0.000,1,0,single,
task_color_change_02,True,True,1.0000,6.41,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,6.408,0.000,0.000,1,0,single,
task_color_change_03,True,True,1.0000,4.89,composite|color_change|rotation|composite|color_change|rotation,color_change,6x6,2,1,composite,1.0000,True,color_change,direct_composite,4.882,0.001,0.000,1,0,single,
task_color_change_04,True,True,1.0000,6.49,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,6.482,0.002,0.001,1,0,single,
task_color_change_05,True,False,0.8750,6.40,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,6.389,0.001,0.001,1,0,single,
